log_volume,percentage_of_total_volume
2.0028880754125167,4.3954855715027191e-05
2.0035142425709016,4.4124179171087804e-05
2.0041077343580005,4.4293746613238042e-05
2.0043935423689856,4.4463494946400872e-05
2.0050963705260521,4.4633423050360305e-05
2.0058577753587703,4.4803630743797007e-05
2.0066725418920028,4.4974150137111511e-05
2.0074473112439248,4.5144981077681226e-05
2.0082468146438193,4.5316128706597637e-05
2.0086001717619175,4.548809919057485e-05
2.0094395750983121,4.5659147577642433e-05
2.0102778638908152,4.5831093147907711e-05
2.0111875544362614,4.6003378426007625e-05
2.0120743049289844,4.6176018947217316e-05
2.012837224705172,4.6354101444534078e-05
2.0136719413621491,4.6522290493366361e-05
2.0146355359666583,4.6695940334656731e-05
2.0155802547866308,4.6870158363734646e-05
2.0165693359985983,4.7044388781545036e-05
2.0172602823782091,4.7219150948405728e-05
2.0181636760629931,4.73942251189652e-05
2.0191193575111486,4.75696867909487e-05
2.0200488968460775,4.774552020512002e-05
2.02085272695337,4.7921712541795807e-05
2.0211892990699383,4.8102209964640571e-05
2.0220695774371604,4.8274824800980565e-05
2.0229456570556348,4.8451845710108945e-05
2.0239250949228755,4.8629250203248688e-05
2.0249215208048086,4.8807057876310849e-05
2.0257358742584515,4.8985230093953913e-05
2.0267048402732613,4.9163768793142669e-05
2.0277855592020115,4.9342736076144816e-05
2.0288243831647539,4.9522133323274077e-05
2.0297114489635906,4.9701939951279616e-05
2.0307203039047788,4.988213013307115e-05
2.0318584066142096,5.0062777003676714e-05
2.0328979289035281,5.0243871515683351e-05
2.0335447941841105,5.04253405664806e-05
2.0346785319422707,5.060715572298406e-05
2.0357311420157407,5.0789428063634863e-05
2.0367371880375833,5.0972139244384231e-05
2.0375470317983542,5.1155431937921879e-05
2.0385513726798266,5.1338689392741361e-05
2.0396853198013987,5.152261479793155e-05
2.04070913652831,5.1707004674760292e-05
2.0413926851582249,5.2087951277568142e-05
2.0413926851582249,5.2087951277568142e-05
